,cod_com,dest_name,cod_reg,n_reviews,T,rev_rel,region
4494,48017,firenze,9,342640.0,777785.6059999999,0.4405327089583605,Toscana
4614,50026,pisa,9,52638.0,777785.6059999999,0.06767674741463396,Toscana
4755,52032,siena,9,47354.0,777785.6059999999,0.06088310150599522,Toscana
4391,46017,lucca,9,35032.0,777785.6059999999,0.045040689529037135,Toscana
4749,52028,san gimignano,9,18908.284,777785.6059999999,0.02431040617637761,Toscana
4562,49009,livorno,9,12729.0,777785.6059999999,0.01636569242450085,Toscana
4576,49014,portoferraio,9,8849.0,777785.6059999999,0.01137717120468285,Toscana
4644,51002,arezzo,9,8822.0,777785.6059999999,0.011342457268359375,Toscana
3930,37006,bologna,8,71269.11799999999,313444.97099999996,0.22737362087075882,Emilia-Romagna
4076,39014,ravenna,8,31660.652000000002,313444.97099999996,0.10100864562921957,Emilia-Romagna
7979,99014,rimini,8,20625.806,313444.97099999996,0.06580359523458426,Emilia-Romagna
4025,38008,ferrara,8,18456.403,313444.97099999996,0.05888243458211362,Emilia-Romagna
7977,99013,riccione,8,16947.07,313444.97099999996,0.0540671300162605,Emilia-Romagna
3890,36023,modena,8,12368.72,313444.97099999996,0.039460578871434504,Emilia-Romagna
3766,34027,parma,8,12070.851,313444.97099999996,0.038510271712095846,Emilia-Romagna
7966,99002,cattolica,8,10218.747,313444.97099999996,0.03260140677133404,Emilia-Romagna
3269,27042,venezia,5,255120.86200000005,512895.083,0.4974133511044013,Veneto
2856,23091,verona,5,69553.28,512895.083,0.1356091768187218,Veneto
2963,24116,vicenza,5,13833.886999999999,512895.083,0.026972157578667992,Veneto
2848,23089,valeggio sul mincio,5,10594.635,512895.083,0.02065653454509721,Veneto
2797,23045,malcesine,5,9914.525,512895.083,0.019330512864362943,Veneto
3170,26086,treviso,5,8435.0,512895.083,0.01644585857727944,Veneto
3004,25016,cortina d'ampezzo,5,6206.0,512895.083,0.012099940525263331,Veneto
3222,27019,jesolo,5,5923.398,512895.083,0.011548946746288072,Veneto
