,node,target,weight
0,Albiano d'Ivrea,Divertimento - Veneto,1.0
1,Almese,Centri Storici - Emilia-Romagna,0.3333333333333333
2,Almese,Spiagge - Veneto,0.3333333333333333
3,Almese,Spiagge - Toscana,0.3333333333333333
4,Alpignano,Centri Storici - Emilia-Romagna,0.38461538461538464
5,Alpignano,Parchi - Veneto,0.07692307692307693
6,Alpignano,Spiagge - Toscana,0.15384615384615385
7,Alpignano,Nulla - Toscana,0.07692307692307693
8,Alpignano,Centri Storici - Toscana,0.23076923076923078
9,Alpignano,Centri Storici - Veneto,0.07692307692307693
10,Arignano,Terme - Toscana,1.0
11,Avigliana,Spiagge - Toscana,0.4
12,Avigliana,Terme - Toscana,0.4
13,Avigliana,Centri Storici - Emilia-Romagna,0.1
14,Avigliana,Spiagge - Emilia-Romagna,0.1
15,Baldissero Torinese,Spiagge - Toscana,1.0
16,Beinasco,Spiagge - Veneto,0.14285714285714285
17,Beinasco,Centri Storici - Veneto,0.2857142857142857
18,Beinasco,Spiagge - Toscana,0.14285714285714285
19,Beinasco,Spiagge - Emilia-Romagna,0.2857142857142857
20,Beinasco,Terme - Emilia-Romagna,0.14285714285714285
21,Bibiana,Enoteche - Emilia-Romagna,0.6666666666666666
22,Bibiana,Spiagge - Emilia-Romagna,0.3333333333333333
23,Bollengo,Spiagge - Toscana,1.0
24,Borgone Susa,Parchi - Veneto,0.5
25,Borgone Susa,Spiagge - Emilia-Romagna,0.5
26,Brandizzo,Spiagge - Toscana,1.0
27,Bruino,Centri Storici - Veneto,0.5
28,Bruino,Spiagge - Toscana,0.5
29,Brusasco,Centri Storici - Emilia-Romagna,1.0
30,Buriasco,Castelli - Emilia-Romagna,0.25
31,Buriasco,Spiagge - Emilia-Romagna,0.5
32,Buriasco,Enoteche - Toscana,0.25
33,Buttigliera Alta,Spiagge - Veneto,0.4
34,Buttigliera Alta,Spiagge - Toscana,0.6
35,Caluso,Spiagge - Emilia-Romagna,1.0
36,Cambiano,Spiagge - Emilia-Romagna,1.0
37,Caprie,Terme - Veneto,0.5
38,Caprie,Divertimento - Emilia-Romagna,0.5
39,Carignano,Musei - Emilia-Romagna,0.2857142857142857
40,Carignano,Castelli - Emilia-Romagna,0.14285714285714285
41,Carignano,Centri Storici - Emilia-Romagna,0.2857142857142857
42,Carignano,Spiagge - Emilia-Romagna,0.2857142857142857
43,Carmagnola,Spiagge - Veneto,0.1
44,Carmagnola,Enoteche - Toscana,0.1
45,Carmagnola,Centri Storici - Veneto,0.1
46,Carmagnola,Spiagge - Toscana,0.2
47,Carmagnola,Parchi - Toscana,0.2
48,Carmagnola,Spiagge - Emilia-Romagna,0.1
49,Carmagnola,Divertimento - Emilia-Romagna,0.1
50,Carmagnola,Terme - Veneto,0.1
51,Casalborgone,Spiagge - Emilia-Romagna,1.0
52,Caselette,Divertimento - Veneto,1.0
53,Caselle Torinese,Centri Storici - Toscana,0.2
54,Caselle Torinese,Centri Storici - Emilia-Romagna,0.2
55,Caselle Torinese,Spiagge - Emilia-Romagna,0.2
56,Caselle Torinese,Spiagge - Veneto,0.2
57,Caselle Torinese,Nulla - Toscana,0.2
58,Castagneto Po,Terme - Emilia-Romagna,1.0
59,Castagnole Piemonte,Sci e Trekking - Veneto,0.75
60,Castagnole Piemonte,Parchi - Veneto,0.25
61,Castellamonte,Spiagge - Emilia-Romagna,0.3333333333333333
62,Castellamonte,Spiagge - Toscana,0.6666666666666666
63,Castiglione Torinese,Spiagge - Toscana,0.6666666666666666
64,Castiglione Torinese,Spiagge - Emilia-Romagna,0.3333333333333333
65,Cavour,Parchi - Veneto,0.4
66,Cavour,Spiagge - Toscana,0.6
67,Cercenasco,Centri Storici - Veneto,1.0
68,Chianocco,Centri Storici - Toscana,0.5
69,Chianocco,Centri Storici - Emilia-Romagna,0.5
70,Chiaverano,Terme - Toscana,1.0
71,Chieri,Spiagge - Emilia-Romagna,0.10344827586206896
72,Chieri,Centri Storici - Veneto,0.13793103448275862
73,Chieri,Musei - Emilia-Romagna,0.034482758620689655
74,Chieri,Centri Storici - Toscana,0.27586206896551724
75,Chieri,Terme - Emilia-Romagna,0.13793103448275862
76,Chieri,Centri Storici - Emilia-Romagna,0.06896551724137931
77,Chieri,Spiagge - Veneto,0.10344827586206896
78,Chieri,Enoteche - Toscana,0.034482758620689655
79,Chieri,Terme - Toscana,0.06896551724137931
80,Chieri,Divertimento - Veneto,0.034482758620689655
81,Chiusa di San Michele,Centri Storici - Emilia-Romagna,1.0
82,Chivasso,Spiagge - Veneto,0.21621621621621623
83,Chivasso,Centri Storici - Emilia-Romagna,0.16216216216216217
84,Chivasso,Divertimento - Veneto,0.02702702702702703
85,Chivasso,Parchi - Veneto,0.02702702702702703
86,Chivasso,Spiagge - Toscana,0.08108108108108109
87,Chivasso,Nulla - Toscana,0.02702702702702703
88,Chivasso,Enoteche - Toscana,0.02702702702702703
89,Chivasso,Negozi - Emilia-Romagna,0.02702702702702703
90,Chivasso,Terme - Veneto,0.10810810810810811
91,Chivasso,Centri Storici - Toscana,0.10810810810810811
92,Chivasso,Centri Storici - Veneto,0.1891891891891892
93,Ciriè,Spiagge - Emilia-Romagna,0.125
94,Ciriè,Castelli - Toscana,0.125
95,Ciriè,Spiagge - Toscana,0.375
96,Ciriè,Parchi - Veneto,0.125
97,Ciriè,Enoteche - Toscana,0.25
98,Coassolo Torinese,Enoteche - Toscana,0.25
99,Coassolo Torinese,Parchi - Toscana,0.125
100,Coassolo Torinese,Centri Storici - Toscana,0.125
101,Coassolo Torinese,Spiagge - Veneto,0.375
102,Coassolo Torinese,Spiagge - Toscana,0.125
103,Coazze,Spiagge - Emilia-Romagna,1.0
104,Collegno,Musei - Emilia-Romagna,0.043478260869565216
105,Collegno,Musei - Veneto,0.043478260869565216
106,Collegno,Spiagge - Emilia-Romagna,0.17391304347826086
107,Collegno,Enoteche - Toscana,0.08695652173913043
108,Collegno,Centri Storici - Veneto,0.043478260869565216
